,Cd,Cm,CM,CA,C#d,C#m,C#M,C#A,Dd,Dm,DM,DA,Ebd,Ebm,EbM,EbA,Ed,Em,EM,EA,Fd,Fm,FM,FA,F#d,F#m,F#M,F#A,Gd,Gm,GM,GA,G#d,G#m,AbM,AbA,Ad,Am,AM,AA,Bbd,Bbm,BbM,BbA,Bd,Bm,BM,BA
GM,10,9,9,5,0,0,0,0,3,4,5,8,6,6,6,7,11,9,3,5,2,2,2,1,5,1,2,6,10,15,15,13,6,3,3,4,9,8,5,5,7,4,6,11,8,9,8,10
GA,11,12,11,9,0,0,0,0,3,2,4,8,4,8,8,8,11,11,10,10,1,1,1,1,3,2,3,6,10,15,15,15,11,11,11,9,6,4,4,3,7,5,5,11,5,11,11,11
G#d,10,11,11,6,6,4,3,4,0,0,0,0,6,6,6,7,9,11,5,7,5,5,6,6,5,5,4,2,4,2,4,5,6,6,7,7,9,9,9,7,7,7,5,6,6,8,10,10
G#m,11,10,9,10,6,5,3,2,0,0,0,0,4,5,5,8,9,9,8,12,4,3,2,3,3,2,3,2,4,1,3,6,9,13,14,12,6,3,3,3,7,4,4,6,5,6,9,11
AbM,8,11,9,10,6,5,5,3,0,0,0,0,3,4,5,8,9,9,8,12,10,10,3,5,2,2,2,1,4,1,2,6,8,13,14,12,6,3,3,4,7,6,5,5,7,4,6,11
AbA,5,13,13,12,7,7,6,5,0,0,0,0,3,2,4,8,6,13,12,15,10,12,10,10,1,1,1,1,3,2,3,6,8,13,15,15,11,11,11,9,6,4,4,3,7,5,5,11
Ad,6,10,11,10,6,6,6,4,6,4,3,4,0,0,0,0,9,9,8,12,8,12,7,7,6,5,6,6,4,4,4,2,3,1,5,5,8,7,7,7,7,7,7,7,7,7,5,6
Am,5,8,11,12,7,6,5,6,6,5,3,2,0,0,0,0,6,7,6,15,8,10,10,12,4,3,2,3,3,2,3,2,3,1,4,7,11,14,14,12,6,3,3,3,7,4,4,6
AM,7,5,8,12,6,7,5,6,6,5,5,3,0,0,0,0,5,6,6,15,8,10,10,12,12,10,3,5,2,2,2,1,3,1,2,7,9,14,14,12,6,3,3,4,7,6,5,5
AA,7,6,7,12,4,8,8,8,7,7,6,5,0,0,0,0,6,4,5,15,5,15,15,15,12,12,8,8,1,1,1,1,2,1,3,7,9,15,15,15,9,9,9,7,6,4,4,3
Bbd,7,8,7,7,5,6,6,6,6,6,6,4,6,4,3,4,0,0,0,0,8,10,10,12,10,12,7,7,6,5,6,6,3,3,4,3,4,3,5,5,8,7,7,7,7,7,7,7
Bbm,7,5,6,7,4,5,7,8,7,6,5,6,6,5,3,2,0,0,0,0,5,9,9,15,10,10,8,10,4,3,2,3,2,2,3,3,4,2,4,7,9,12,12,10,6,3,3,3
BbM,7,7,6,6,4,3,5,8,6,7,5,6,6,5,5,3,0,0,0,0,5,9,9,15,10,10,8,10,10,8,3,5,2,2,2,2,4,1,2,7,7,12,12,10,6,3,3,4
BbA,6,5,5,4,4,3,4,8,4,8,8,8,7,7,6,5,0,0,0,0,6,7,8,15,8,15,13,13,10,10,8,8,1,1,2,2,3,2,3,7,7,13,13,13,9,9,9,7
Bd,7,8,8,8,4,4,4,4,5,6,6,6,6,6,6,4,10,7,5,8,0,0,0,0,10,10,8,10,8,10,7,7,6,5,7,7,4,4,4,3,3,2,4,4,8,7,7,7
Bm,6,4,4,4,4,3,4,4,4,5,7,8,7,6,5,6,10,8,5,5,0,0,0,0,8,9,7,13,8,8,8,10,4,3,2,4,3,2,3,3,3,1,3,6,9,12,12,10
BM,6,5,4,4,4,4,3,3,4,3,5,8,6,7,5,6,10,8,7,5,0,0,0,0,8,9,7,13,8,8,8,10,8,7,3,4,4,2,2,2,3,0,1,6,7,12,12,10
BA,9,11,10,7,3,2,2,2,4,3,4,8,4,8,8,8,11,11,9,8,0,0,0,0,9,7,6,13,6,13,13,13,8,8,8,7,3,2,2,2,2,1,2,6,7,13,13,13
