,Cd,Cm,CM,CA,C#d,C#m,C#M,C#A,Dd,Dm,DM,DA,Ebd,Ebm,EbM,EbA,Ed,Em,EM,EA,Fd,Fm,FM,FA,F#d,F#m,F#M,F#A,Gd,Gm,GM,GA,G#d,G#m,AbM,AbA,Ad,Am,AM,AA,Bbd,Bbm,BbM,BbA,Bd,Bm,BM,BA
GM,8,7,7,5,0,0,0,0,3,3,6,6,6,5,6,7,14,13,8,7,5,5,5,3,11,4,4,12,8,15,15,15,3,2,1,2,4,3,2,1,6,3,5,10,6,9,9,12
GA,10,12,12,10,0,0,0,0,4,3,4,6,4,6,7,7,14,14,13,15,5,5,5,3,9,5,5,12,8,15,15,15,5,5,5,5,3,3,1,1,6,3,6,10,6,10,10,12
G#d,8,8,8,5,6,4,3,4,0,0,0,0,6,6,6,6,12,12,9,7,5,5,7,7,11,11,11,6,11,6,6,12,7,9,7,7,4,4,4,3,4,3,2,1,6,5,10,10
G#m,10,9,9,10,6,6,4,3,0,0,0,0,4,5,5,6,12,11,12,15,7,7,5,5,9,6,10,6,11,5,5,12,9,13,14,14,3,2,1,2,4,2,2,1,6,5,9,10
AbM,6,9,9,11,6,6,6,4,0,0,0,0,3,3,5,6,12,11,12,16,13,15,8,7,5,5,5,3,11,4,4,12,8,13,15,15,3,2,1,2,4,3,2,1,6,3,5,10
AbA,6,11,11,11,7,7,7,7,0,0,0,0,4,3,4,6,8,12,13,16,13,16,16,15,6,5,5,3,7,5,5,12,8,13,15,15,5,5,5,5,2,2,1,1,6,3,6,10
Ad,6,5,11,9,6,6,6,4,6,4,3,4,0,0,0,0,12,12,11,14,11,14,9,7,5,5,7,7,11,11,11,6,9,6,7,12,7,9,7,7,4,4,4,3,4,3,2,1
Am,6,5,9,9,7,6,6,7,6,6,4,3,0,0,0,0,8,11,10,14,11,13,15,15,8,7,5,5,7,6,10,6,9,5,6,12,10,15,14,14,2,1,1,2,4,2,2,1
AM,6,3,5,9,5,6,6,8,6,6,6,4,0,0,0,0,6,7,10,14,11,13,15,16,16,15,6,7,5,5,5,3,9,4,4,12,8,15,15,15,2,1,1,2,4,3,2,1
AA,6,3,6,9,4,7,7,8,6,7,7,6,0,0,0,0,8,6,8,14,8,14,16,16,16,16,14,13,6,5,5,3,7,5,5,12,8,15,15,15,4,4,4,4,2,2,1,1
Bbd,4,3,2,1,4,4,7,7,6,6,6,4,6,4,3,4,0,0,0,0,11,12,12,14,12,14,7,7,5,5,7,7,9,9,10,6,10,6,7,12,5,7,7,7,4,4,4,3
Bbm,4,2,2,1,4,4,6,7,6,6,6,6,6,6,4,3,0,0,0,0,8,11,11,14,12,13,13,13,8,7,5,5,7,6,9,6,10,5,6,12,8,13,12,12,2,1,1,2
BbM,4,3,2,1,4,2,4,7,5,6,6,7,6,6,6,4,0,0,0,0,6,8,11,14,12,13,13,14,14,13,6,7,5,5,6,3,10,4,4,12,6,13,13,13,2,1,1,2
BbA,2,2,1,1,4,2,4,7,4,7,7,7,6,6,6,6,0,0,0,0,8,6,9,14,9,14,14,14,14,14,14,13,6,5,5,3,8,5,5,12,6,13,13,13,4,4,4,4
Bd,4,4,4,3,0,0,0,0,4,4,7,7,6,6,6,4,12,8,6,9,0,0,0,0,12,12,12,14,12,14,7,7,5,5,8,8,10,10,10,6,10,6,7,12,5,7,7,7
Bm,2,1,1,2,0,0,0,0,4,4,6,7,6,6,6,6,12,12,8,6,0,0,0,0,9,11,11,14,12,13,13,13,8,7,5,5,8,7,9,6,10,5,6,12,8,13,12,12
BM,2,1,1,2,0,0,0,0,4,2,4,7,5,6,6,7,12,12,11,8,0,0,0,0,7,8,11,14,12,13,13,14,12,11,6,7,6,6,6,3,10,4,4,12,6,13,13,13
BA,4,4,4,3,0,0,0,0,4,2,4,7,4,7,7,7,12,12,11,11,0,0,0,0,8,6,9,14,9,14,14,14,12,12,12,11,6,5,5,3,8,5,5,12,6,13,13,13
